Index	Name	Description	File Name	Quantity
10.1.3.4.1.1.7.11	Display Connector, RPi4ModelB010		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.7.12	Display Connector, RPi4ModelB011		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.7.13	Display Connector, RPi4ModelB012		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.7.14	Display Connector, RPi4ModelB013		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.7.15	Display Connector, RPi4ModelB014		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.7.16	Display Connector, RPi4ModelB015		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.7.17	Display Connector, RPi4ModelB016		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.8	Gigabit Ethernet Port, RPi4ModelB		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.9	Female Micro HDMI Connector, RPi4ModelB		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.10	Female Micro HDMI Connector, RPi4ModelB001		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.11	Female USB Type C Connector, RPi4ModelB		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.12	2X USB3.0 PORTS, RPi4ModelB		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.13	91D77 D9WHV 778K, 4 GB LPDDR4 SDRAM, RPi4ModelB		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
